20180101
20180101
20180101
20180101
20180101
20180101
20180101
20180101
20170101
20170101
ID	NAME	LAT	LONG	ElEVATION,
162	162	38.839	-85.560	226.5
163	163	38.839	-85.512	226.5
164	164	38.839	-85.463	226.5
165	165	38.839	-85.415	226.5
166	166	38.839	-85.367	226.5
167	167	38.839	-85.319	226.5
168	168	38.839	-85.270	226.5
0.000000
0.000000169	169	38.791	-85.898	226.5,0.000000,0.000000
0.000000
/n0.000000,,0.0000000.000000,,0.000000
0.000000,,0.000000
0.000000
0.000000
0.000000
0.000000
0.000000
0.000000,,0.000000
