20180101
20180101
20180101
20180101
20180101
20180101
20180101
20180101
ID,NAME,LAT,LONG,ELEVATION
131,131,38.83245229,-85.89167029,226.5
132,132,38.83196076,-85.84102564,226.5
133,133,38.83144729,-85.79038226,226.5
134,134,38.83091186,-85.73974021,226.5
135,135,38.83035449,-85.68909952,226.5
136,136,38.82977518,-85.63846015,226.5
137,137,38.82917392,-85.58782238,226.5
138,138,38.82855073,-85.53718615,226.5
139,139,38.82790559,-85.48655151,226.5
140,140,38.82723852,-85.43591853,226.5
141,141,38.82654952,-85.38528724,226.5
142,142,38.82583858,-85.33465761,226.5
143,143,38.82510571,-85.2840299,226.5
144,144,38.78022646,-85.89247923,226.5
145,145,38.77973584,-85.84187153,226.5
146,146,38.77922332,-85.7912651,226.5
147,147,38.77868889,-85.74065998,226.5
148,148,38.77813255,-85.69005622,226.5
149,149,38.77755431,-85.63945378,226.5
150,150,38.77695417,-85.58885294,226.5
151,151,38.77633213,-85.53825363,226.5
152,152,38.77568819,-85.48765591,226.5
153,153,38.77502235,-85.43705983,226.5
154,154,38.77433462,-85.38646546,226.5
155,155,38.773625,-85.33587273,226.5
156,156,38.7728935,-85.28528192,226.5
157,157,38.72800024,-85.89328608,226.5
158,158,38.72751053,-85.84271523,226.5
159,159,38.72699896,-85.79214564,226.5
160,160,38.72646552,-85.74157736,226.5
161,161,38.72591021,-85.69101045,226.5
162,162,38.72533304,-85.64044484,226.5
163,163,38.72473401,-85.58988083,226.5
164,164,38.72411312,-85.53931834,226.5
165,165,38.72347038,-85.48875744,226.5
166,166,38.72280578,-85.43819818,226.5
167,167,38.72211932,-85.38764062,226.5
168,168,38.72141102,-85.33708469,226.5
0.000000
0.000000169,169,38.72068087,-85.28653069,226.5,0.000000,0.000000
0.000000
/n0.000000,,0.0000000.000000,,0.000000
0.000000,,0.000000
0.000000
0.000000
0.000000
0.000000
0.000000
0.000000,,0.000000
